neighborhood,roomType,countRoomType,sumReviews,avgPrice,avgBedrooms,avgAccommodates
Alameda,Entire home/apt,37,1625,165.32,1.92,4.65
Alameda,Private room,26,1174,71.88,1,2.15
Alameda,Total,63,2799,126.76,1.54,3.62
Arbor Lodge,Entire home/apt,35,1103,111.54,1.29,3.94
Arbor Lodge,Private room,22,966,60.05,1,2.27
Arbor Lodge,Total,57,2069,91.67,1.18,3.3
Ardenwald,Entire home/apt,5,83,72.8,0.8,3
Ardenwald,Private room,3,17,74.67,1,3
Ardenwald,Total,8,100,73.5,0.88,3
Argay,Entire home/apt,3,56,125,3,6.67
Argay,Private room,6,121,49.83,1,2.33
Argay,Total,9,177,74.89,1.67,3.78
Boise,Entire home/apt,121,6750,126.11,1.71,4.45
Boise,Private room,47,2326,62.34,1,2.32
Boise,Shared room,10,385,34.7,1,1
Boise,Total,178,9461,104.13,1.48,3.69
Brentwood-Darlington,Entire home/apt,10,264,97.7,1.6,4.7
Brentwood-Darlington,Private room,7,238,57.43,1,2
Brentwood-Darlington,Shared room,1,1,55,1,1
Brentwood-Darlington,Total,18,503,79.67,1.33,3.44
Bridgeton,Entire home/apt,7,46,193.71,1.86,4
Bridgeton,Private room,3,15,101.33,1,2
Bridgeton,Total,10,61,166,1.6,3.4
Bridlemile,Entire home/apt,7,318,109.57,1.14,3
Bridlemile,Private room,4,106,72.25,1,2
Bridlemile,Total,11,424,96,1.09,2.64
Brooklyn,Entire home/apt,31,1297,108.03,1.74,4.58
Brooklyn,Private room,15,753,57.6,1,2.07
Brooklyn,Shared room,1,15,25,1,1
Brooklyn,Total,47,2065,90.17,1.49,3.7
Buckman,Entire home/apt,100,4854,146.79,1.3,4.08
Buckman,Private room,35,1193,66.57,1.06,2.17
Buckman,Shared room,2,0,87.5,1,1.5
Buckman,Total,137,6047,125.43,1.23,3.55
Cathedral Park,Entire home/apt,31,661,106.97,1.68,4.19
Cathedral Park,Private room,27,777,56.33,1,2.15
Cathedral Park,Total,58,1438,83.4,1.36,3.24
Centennial,Entire home/apt,2,3,60.5,1,2.5
Centennial,Private room,4,88,39.75,1,2
Centennial,Shared room,2,14,37.5,1,2
Centennial,Total,8,105,44.38,1,2.13
Center,Entire home/apt,43,1276,145.09,1.58,4.02
Center,Private room,18,602,64.33,1,2.11
Center,Total,61,1878,121.26,1.41,3.46
Central Beaverton,Entire home/apt,8,255,116.88,1.38,4
Central Beaverton,Private room,3,3,61,1,2.67
Central Beaverton,Total,11,258,101.64,1.27,3.64
Concordia,Entire home/apt,127,5483,120.42,1.55,4.06
Concordia,Private room,41,1938,74,1.02,2.37
Concordia,Total,168,7421,109.09,1.42,3.65
Corbett-Terwilliger-Lair Hill,Entire home/apt,30,358,125.63,1.57,3.93
Corbett-Terwilliger-Lair Hill,Private room,28,744,70.54,1,1.89
Corbett-Terwilliger-Lair Hill,Shared room,1,0,65,1,1
Corbett-Terwilliger-Lair Hill,Total,59,1102,98.46,1.29,2.92
Creston-Kenilworth,Entire home/apt,22,675,121.73,1.82,4.36
Creston-Kenilworth,Private room,25,1391,58.2,1,2.16
Creston-Kenilworth,Total,47,2066,87.94,1.38,3.19
Cully,Entire home/apt,70,2935,111.5,1.39,3.86
Cully,Private room,38,1979,55.37,1.03,2.11
Cully,Total,108,4914,91.75,1.26,3.24
Denny Whitford,Entire home/apt,4,18,113.75,1.75,5.75
Denny Whitford,Total,4,18,113.75,1.75,5.75
Downtown,Entire home/apt,50,1765,161.44,1.22,4.08
Downtown,Private room,6,77,59.5,1,1.67
Downtown,Shared room,3,17,46.67,1,1.67
Downtown,Total,59,1859,145.24,1.19,3.71
Eastmoreland,Entire home/apt,15,464,127.13,1.53,3.87
Eastmoreland,Private room,7,429,64.29,1,2.43
Eastmoreland,Total,22,893,107.14,1.36,3.41
Eliot,Entire home/apt,42,2552,122.45,1.52,4.43
Eliot,Private room,17,704,80,1,2.06
Eliot,Total,59,3256,110.22,1.37,3.75
Far Southwest,Entire home/apt,23,528,128.57,1.57,4.61
Far Southwest,Private room,25,574,62.36,1,2.36
Far Southwest,Shared room,3,52,43.33,1,1.67
Far Southwest,Total,51,1154,91.1,1.25,3.33
Five Oaks,Private room,5,46,49,1,2.2
Five Oaks,Total,5,46,49,1,2.2
Forest Park,Entire home/apt,27,571,203.56,2.41,5.63
Forest Park,Private room,17,643,103,1,2.29
Forest Park,Total,44,1214,164.7,1.86,4.34
Foster Powell,Entire home/apt,21,568,109,1.67,4.24
Foster Powell,Private room,8,373,57.13,1,2.25
Foster Powell,Total,29,941,94.69,1.48,3.69
Greenway,Entire home/apt,3,32,108.67,2.33,5.33
Greenway,Private room,2,17,52.5,1,2
Greenway,Total,5,49,86.2,1.8,4
Hayhurst,Entire home/apt,11,378,122.45,1.55,4.09
Hayhurst,Private room,9,122,71.44,1,2.67
Hayhurst,Total,20,500,99.5,1.3,3.45
Hazelwood,Entire home/apt,5,280,64.2,1,3.2
Hazelwood,Private room,12,140,53.83,1,2
Hazelwood,Total,17,420,56.88,1,2.35
Hector Campbell,Entire home/apt,1,1,85,3,6
Hector Campbell,Private room,1,3,31,1,1
Hector Campbell,Total,2,4,58,2,3.5
Highlands,Entire home/apt,5,89,105.6,1.8,3.6
Highlands,Private room,4,133,49.5,1,1.5
Highlands,Total,9,222,80.67,1.44,2.67
Hillsdale,Entire home/apt,22,807,158.27,1.86,5.23
Hillsdale,Private room,14,529,69.07,1.07,2.43
Hillsdale,Total,36,1336,123.58,1.56,4.14
Homestead,Entire home/apt,16,647,117.5,1.13,3.19
Homestead,Private room,11,537,66.36,1,2.18
Homestead,Shared room,2,11,61,1,1.5
Homestead,Total,29,1195,94.21,1.07,2.69
Hosford,Entire home/apt,94,4636,131.17,1.51,3.99
Hosford,Private room,38,2197,66.21,1.03,2.24
Hosford,Shared room,1,0,336,1,2
Hosford,Total,133,6833,114.15,1.37,3.47
Irvington,Entire home/apt,53,2837,121.4,1.38,3.96
Irvington,Private room,46,2249,76.67,1,2.39
Irvington,Shared room,6,273,29.33,1,1.5
Irvington,Total,105,5359,96.54,1.19,3.13
Kenton,Entire home/apt,29,995,105.28,1.55,4.03
Kenton,Private room,28,1390,54.07,1,2.32
Kenton,Total,57,2385,80.12,1.28,3.19
Kerns,Entire home/apt,58,2259,121.48,0.98,3.48
Kerns,Private room,16,620,67.63,1,2.19
Kerns,Total,74,2879,109.84,0.99,3.2
King,Entire home/apt,178,7191,126.24,1.68,4.36
King,Private room,111,5738,60.13,1,2.12
King,Total,289,12929,100.84,1.42,3.5
Lake Road,Entire home/apt,2,55,85.5,1.5,4.5
Lake Road,Private room,4,58,52.5,1,2
Lake Road,Shared room,1,3,42,1,2
Lake Road,Total,7,116,60.43,1.14,2.71
Lents,Entire home/apt,6,69,90,1.33,2.83
Lents,Private room,6,220,57,1,2.67
Lents,Shared room,1,18,25,1,2
Lents,Total,13,307,69.77,1.15,2.69
Lewelling,Entire home/apt,3,35,77.33,2.33,6
Lewelling,Private room,2,3,45,1,1.5
Lewelling,Total,5,38,64.4,1.8,4.2
Linnton,Entire home/apt,5,75,114.8,1.2,3.8
Linnton,Private room,1,50,69,1,1
Linnton,Total,6,125,107.17,1.17,3.33
Linwood,Entire home/apt,2,7,57,0.5,2.5
Linwood,Private room,1,10,35,1,2
Linwood,Total,3,17,49.67,0.67,2.33
Lloyd,Entire home/apt,3,68,103.33,0,2
Lloyd,Private room,2,5,55,1,1.5
Lloyd,Total,5,73,84,0.4,1.8
Madison South,Entire home/apt,10,416,113,1.6,4.3
Madison South,Private room,7,136,51.57,1,2.71
Madison South,Total,17,552,87.71,1.35,3.65
Maplewood-Ashcreek,Entire home/apt,32,884,141.59,1.84,4.34
Maplewood-Ashcreek,Private room,31,640,57,1.06,2.26
Maplewood-Ashcreek,Total,63,1524,99.97,1.46,3.32
Mill Park,Entire home/apt,1,3,80,1,2
Mill Park,Private room,1,49,40,1,2
Mill Park,Total,2,52,60,1,2
Montavilla,Entire home/apt,48,1231,110.63,1.92,4.52
Montavilla,Private room,32,1065,55.28,1,2.53
Montavilla,Shared room,1,5,25,1,1
Montavilla,Total,81,2301,87.7,1.54,3.69
Mount Scott,Entire home/apt,15,313,83.2,1.27,4.2
Mount Scott,Private room,4,48,54,1,1.75
Mount Scott,Total,19,361,77.05,1.21,3.68
Mount Tabor,Entire home/apt,70,2304,130.19,1.73,4.44
Mount Tabor,Private room,39,2446,58.18,1,2.26
Mount Tabor,Total,109,4750,104.42,1.47,3.66
Neighbors Southwest,Entire home/apt,1,0,90,1,3
Neighbors Southwest,Private room,1,0,49,1,2
Neighbors Southwest,Shared room,1,1,50,1,1
Neighbors Southwest,Total,3,1,63,1,2
Northwest,Entire home/apt,170,6779,146.52,1.22,3.71
Northwest,Private room,38,2472,75.11,1,2.05
Northwest,Shared room,1,0,35,1,3
Northwest,Total,209,9251,133,1.18,3.41
Old Town-Chinatown,Entire home/apt,11,164,117.45,0.91,3.36
Old Town-Chinatown,Private room,12,772,110.42,1,2
Old Town-Chinatown,Shared room,22,630,42.91,1,1
Old Town-Chinatown,Total,45,1566,79.13,0.98,1.84
Overlook,Entire home/apt,67,3212,142.16,1.58,4.37
Overlook,Private room,39,2162,58.41,1,2
