neighborhood,roomType,countRoomType,sumReviews,avgPrice,avgBedrooms,avgAccommodates
Hosford,Private room,35,1942,76.43,1,2.29
Hosford,Total,114,5798,127.68,1.36,3.5
Irvington,Entire home/apt,50,2334,138.26,1.46,3.88
Irvington,Private room,42,1971,91.29,1,2.45
Irvington,Shared room,4,210,42.25,1,1.75
Irvington,Total,96,4515,113.71,1.24,3.17
Kenton,Entire home/apt,27,1002,105.26,1.48,4
Kenton,Private room,24,1131,56,1,2.17
Kenton,Total,51,2133,82.08,1.25,3.14
Kerns,Entire home/apt,58,2258,136.38,1,3.62
Kerns,Private room,12,461,74.67,1,2.08
Kerns,Total,70,2719,125.8,1,3.36
King,Entire home/apt,170,6257,146.34,1.73,4.4
King,Private room,116,5591,64.78,1,2.04
King,Shared room,12,502,28.5,1,4.17
King,Total,298,12350,109.85,1.42,3.47
Lake Road,Entire home/apt,2,47,87.5,1.5,4.5
Lake Road,Private room,3,39,55,1,1.67
Lake Road,Total,5,86,68,1.2,2.8
Lents,Entire home/apt,8,66,87.5,1.63,3.63
Lents,Private room,7,224,56.43,1,2.14
Lents,Shared room,1,18,25,1,2
Lents,Total,16,308,70,1.31,2.88
Lewelling,Entire home/apt,3,22,103,2.33,6
Lewelling,Private room,2,31,42.5,1,1.5
Lewelling,Total,5,53,78.8,1.8,4.2
Linnton,Entire home/apt,2,29,152.5,2,5
Linnton,Private room,2,70,79,1,1.5
Linnton,Total,4,99,115.75,1.5,3.25
Linwood,Private room,1,6,35,1,2
Linwood,Total,1,6,35,1,2
Lloyd,Entire home/apt,23,69,203.57,0.78,4.48
Lloyd,Private room,2,1,50,1,1
Lloyd,Total,25,70,191.28,0.8,4.2
Madison South,Entire home/apt,10,444,124.2,2,4.5
Madison South,Private room,3,111,71.33,1,3
Madison South,Total,13,555,112,1.77,4.15
Maplewood-Ashcreek,Entire home/apt,32,911,134.84,1.84,4.28
Maplewood-Ashcreek,Private room,23,633,63.22,1,2.22
Maplewood-Ashcreek,Total,55,1544,104.89,1.49,3.42
Mill Park,Entire home/apt,1,1,60,1,2
Mill Park,Shared room,1,47,40,1,2
Mill Park,Total,2,48,50,1,2
Montavilla,Entire home/apt,40,967,120.23,1.75,4.15
Montavilla,Private room,39,1099,60.13,1,2.41
Montavilla,Shared room,1,1,25,1,1
Montavilla,Total,80,2067,89.74,1.38,3.26
Mount Scott,Entire home/apt,11,217,85.91,1.45,4.36
Mount Scott,Private room,7,112,46.71,1,1.71
Mount Scott,Total,18,329,70.67,1.28,3.33
Mount Tabor,Entire home/apt,68,2046,144.49,1.79,4.54
Mount Tabor,Private room,39,1930,68.13,1,2.26
Mount Tabor,Total,107,3976,116.65,1.5,3.71
Neighbors Southwest,Private room,3,17,363.33,1,6.67
Neighbors Southwest,Shared room,1,1,50,1,1
Neighbors Southwest,Total,4,18,285,1,5.25
Northwest,Entire home/apt,189,6474,160.31,1.11,3.6
Northwest,Private room,39,2184,87.51,1,2.1
Northwest,Shared room,1,0,35,1,3
Northwest,Total,229,8658,147.36,1.09,3.34
Old Town-Chinatown,Entire home/apt,10,306,129.6,1,3.2
Old Town-Chinatown,Private room,10,536,119.1,1,2
Old Town-Chinatown,Shared room,25,407,42.2,1,1
Old Town-Chinatown,Total,45,1249,78.71,1,1.71
Overlook,Entire home/apt,60,2923,138.28,1.5,4.15
Overlook,Private room,42,1883,62.62,1,2.05
Overlook,Shared room,1,71,30,1,1
Overlook,Total,103,4877,106.38,1.29,3.26
Parkrose,Entire home/apt,5,161,141.6,1.8,5.8
Parkrose,Private room,7,160,67.71,1,2.29
Parkrose,Shared room,1,2,50,1,2
Parkrose,Total,13,323,94.77,1.31,3.62
Pearl District,Entire home/apt,31,697,184.97,0.97,3.03
Pearl District,Private room,5,337,113.8,1,2
Pearl District,Total,36,1034,175.08,0.97,2.89
Pleasant Valley,Entire home/apt,5,145,118.8,1.6,4.4
Pleasant Valley,Private room,8,159,57.5,1,2.63
Pleasant Valley,Total,13,304,81.08,1.23,3.31
Portsmith,Entire home/apt,16,430,109.06,1.56,3.88
Portsmith,Private room,12,251,57.17,1,2.25
Portsmith,Total,28,681,86.82,1.32,3.18
Powellhurst,Entire home/apt,4,97,85.5,0.75,3.5
Powellhurst,Private room,14,309,41.64,1,2.79
Powellhurst,Total,18,406,51.39,0.94,2.94
Raleigh West,Entire home/apt,1,18,95,1,2
Raleigh West,Total,1,18,95,1,2
Reed,Entire home/apt,9,138,120,1.56,3.89
