neighborhood,roomType,countRoomType,sumReviews,avgPrice,avgBedrooms,avgAccommodates
Alameda,Entire home/apt,34,1756,182.79,2.09,4.71
Alameda,Private room,22,1250,73.73,1.05,2.23
Alameda,Total,56,3006,139.95,1.68,3.73
Arbor Lodge,Entire home/apt,46,1321,120.35,1.46,4.13
Arbor Lodge,Private room,22,1009,64.68,1.05,2.09
Arbor Lodge,Total,68,2330,102.34,1.32,3.47
Ardenwald,Entire home/apt,4,122,122.25,2,5.75
Ardenwald,Private room,1,5,60,1,3
Ardenwald,Total,5,127,109.8,1.8,5.2
Argay,Entire home/apt,4,22,75,1.5,3.25
Argay,Private room,7,160,62.29,1,2
Argay,Total,11,182,66.91,1.18,2.45
Boise,Entire home/apt,117,7463,129.44,1.62,4.17
Boise,Private room,47,2568,65.04,1.02,2.3
Boise,Shared room,6,466,34.67,1,1
Boise,Total,170,10497,108.29,1.43,3.54
Brentwood-Darlington,Entire home/apt,15,611,96.6,1.8,4.4
Brentwood-Darlington,Private room,12,214,64.92,1.08,2.08
Brentwood-Darlington,Shared room,2,8,55,1,1
Brentwood-Darlington,Total,29,833,80.62,1.45,3.21
Bridgeton,Entire home/apt,4,51,207.5,1.5,4.25
Bridgeton,Private room,1,0,88,0,1
Bridgeton,Total,5,51,183.6,1.2,3.6
Bridlemile,Entire home/apt,4,354,101,1.25,4
Bridlemile,Private room,5,204,66.2,0.8,2
Bridlemile,Total,9,558,81.67,1,2.89
Brooklyn,Entire home/apt,36,1527,139.61,1.78,4.36
Brooklyn,Private room,14,852,62,1,2.07
Brooklyn,Shared room,1,52,29,1,1
Brooklyn,Total,51,2431,116.14,1.55,3.67
Buckman,Entire home/apt,111,5979,158.15,1.43,4.01
Buckman,Private room,33,1522,77.33,0.97,2.03
Buckman,Shared room,2,0,87.5,1,1.5
Buckman,Total,146,7501,138.92,1.32,3.53
Cathedral Park,Entire home/apt,38,863,107.45,1.58,4.05
Cathedral Park,Private room,30,1077,55.8,1.07,2.13
Cathedral Park,Total,68,1940,84.66,1.35,3.21
Centennial,Entire home/apt,2,16,106,2.5,4
Centennial,Private room,7,190,43.43,1,2.43
Centennial,Shared room,2,25,35,1,2
Centennial,Total,11,231,53.27,1.27,2.64
