neighborhood,roomType,countRoomType,sumReviews,avgPrice,avgBedrooms,avgAccommodates
Alameda,Entire home/apt,37,1669,165.62,1.97,4.51
Alameda,Private room,26,1232,73.23,1,2.12
Alameda,Total,63,2901,127.49,1.57,3.52
Arbor Lodge,Entire home/apt,35,1132,107.03,1.31,3.89
Arbor Lodge,Private room,22,1021,57.09,1,2.18
Arbor Lodge,Total,57,2153,87.75,1.19,3.23
Ardenwald,Entire home/apt,2,71,75,1,3.5
Ardenwald,Private room,2,18,65,1,3.5
Ardenwald,Total,4,89,70,1,3.5
Argay,Entire home/apt,1,7,85,3,5
Argay,Private room,6,129,49.67,1,2.33
Argay,Total,7,136,54.71,1.29,2.71
Boise,Entire home/apt,113,7009,121.45,1.65,4.32
Boise,Private room,45,2312,62.07,1.02,2.38
Boise,Shared room,9,404,34.44,1,1
Boise,Total,167,9725,100.76,1.44,3.62
Brentwood-Darlington,Entire home/apt,12,376,92.42,1.67,4.58
Brentwood-Darlington,Private room,9,263,64.78,1,2
Brentwood-Darlington,Shared room,2,3,51.5,1,1
Brentwood-Darlington,Total,23,642,78.04,1.35,3.26
Bridgeton,Entire home/apt,8,79,153.38,1.63,3.88
Bridgeton,Private room,3,16,97.67,1,2
Bridgeton,Total,11,95,138.18,1.45,3.36
Bridlemile,Entire home/apt,4,322,87,0.75,2.75
Bridlemile,Private room,4,123,68.25,1,2
Bridlemile,Total,8,445,77.63,0.88,2.38
Brooklyn,Entire home/apt,28,1170,110.11,1.79,4.57
Brooklyn,Private room,15,836,60.27,1,2.07
Brooklyn,Shared room,1,21,25,1,1
Brooklyn,Total,44,2027,91.18,1.5,3.64
Buckman,Entire home/apt,103,4945,146.23,1.27,3.93
Buckman,Private room,28,1064,67.61,1,2.07
Buckman,Shared room,2,0,87.5,1,1.5
Buckman,Total,133,6009,128.8,1.21,3.5
Cathedral Park,Entire home/apt,32,634,104.94,1.63,4.13
Cathedral Park,Private room,27,818,52.04,1,2.15
Cathedral Park,Total,59,1452,80.73,1.34,3.22
Centennial,Entire home/apt,3,13,98.67,2.67,3.67
Centennial,Private room,8,143,57.38,1,2.38
Centennial,Shared room,2,17,37.5,1,2
Centennial,Total,13,173,63.85,1.38,2.62
Center,Entire home/apt,47,1367,138.66,1.55,3.68
Center,Private room,21,655,61.9,0.95,2
Center,Total,68,2022,114.96,1.37,3.16
