neighborhood,roomType,countRoomType,sumReviews,avgPrice,avgBedrooms,avgAccommodates
Alameda,Entire home/apt,36,1732,174.75,2.03,4.72
Alameda,Private room,23,1186,79.3,1.04,2.17
Alameda,Total,59,2918,137.54,1.64,3.73
Arbor Lodge,Entire home/apt,35,1010,113.03,1.43,4.14
Arbor Lodge,Private room,20,892,62.35,1,2.25
Arbor Lodge,Total,55,1902,94.6,1.27,3.45
Ardenwald,Entire home/apt,3,100,78.33,1,3.67
Ardenwald,Private room,1,4,60,1,3
Ardenwald,Total,4,104,73.75,1,3.5
Argay,Entire home/apt,2,9,79,2,3.5
Argay,Private room,6,136,52.33,1,2.33
Argay,Total,8,145,59,1.25,2.63
Boise,Entire home/apt,106,6799,128.56,1.58,4.24
Boise,Private room,47,2539,61.06,1,2.3
Boise,Shared room,10,452,34.5,1,1
Boise,Total,163,9790,103.33,1.38,3.48
Brentwood-Darlington,Entire home/apt,13,442,95.31,1.69,4.31
Brentwood-Darlington,Private room,10,129,62.7,1,1.9
Brentwood-Darlington,Shared room,2,7,55,1,1
Brentwood-Darlington,Total,25,578,79.04,1.36,3.08
Bridgeton,Entire home/apt,7,82,162.57,1.57,4
Bridgeton,Private room,2,5,114,1,2
Bridgeton,Total,9,87,151.78,1.44,3.56
Bridlemile,Entire home/apt,4,342,103.25,0.75,3.25
Bridlemile,Private room,5,146,64.6,0.8,2
Bridlemile,Total,9,488,81.78,0.78,2.56
Brooklyn,Entire home/apt,28,1225,121.61,1.82,4.46
Brooklyn,Private room,13,885,63.38,1,2.15
Brooklyn,Shared room,1,31,25,1,1
Brooklyn,Total,42,2141,101.29,1.55,3.67
Buckman,Entire home/apt,100,5136,174.33,1.37,4.08
Buckman,Private room,37,1349,73.32,0.97,2.05
Buckman,Shared room,2,0,87.5,1,1.5
Buckman,Total,139,6485,146.19,1.26,3.5
Cathedral Park,Entire home/apt,31,675,101.87,1.68,4.06
Cathedral Park,Private room,26,903,57.77,1.04,2.19
Cathedral Park,Total,57,1578,81.75,1.39,3.21
Centennial,Entire home/apt,2,8,117,2.5,4
Centennial,Private room,6,134,41.33,1,2.33
Centennial,Shared room,1,15,25,1,1
Centennial,Total,9,157,56.33,1.33,2.56
Center,Entire home/apt,53,1550,138.91,1.7,3.83
Center,Private room,20,691,63.45,1,2.1
