neighborhood,roomType,countRoomType,sumReviews,avgPrice,avgBedrooms,avgAccommodates
Alameda,Entire home/apt,36,1606,174.03,2.17,4.83
Alameda,Private room,23,1105,76.17,1.13,2.17
Alameda,Total,59,2711,135.88,1.76,3.8
Arbor Lodge,Entire home/apt,32,941,113.28,1.44,4.19
Arbor Lodge,Private room,23,1042,58.78,1,2.17
Arbor Lodge,Total,55,1983,90.49,1.25,3.35
Ardenwald,Entire home/apt,3,89,80,1,3.67
Ardenwald,Private room,1,4,60,1,3
Ardenwald,Total,4,93,75,1,3.5
Argay,Entire home/apt,1,7,85,3,5
Argay,Private room,6,134,58.67,1,2.33
Argay,Total,7,141,62.43,1.29,2.71
Boise,Entire home/apt,106,6490,123.86,1.62,4.26
Boise,Private room,45,2386,60.36,1,2.33
Boise,Shared room,9,409,34.67,1,1
Boise,Total,160,9285,100.98,1.41,3.54
Brentwood-Darlington,Entire home/apt,11,404,2017,1.82,4.82
Brentwood-Darlington,Private room,9,107,67.44,1,1.89
Brentwood-Darlington,Shared room,2,6,55,1,1
Brentwood-Darlington,Total,22,517,80.27,1.41,3.27
Bridgeton,Entire home/apt,7,75,162.57,1.57,4
Bridgeton,Private room,2,5,114,1,2
Bridgeton,Total,9,80,151.78,1.44,3.56
Bridlemile,Entire home/apt,4,333,87,0.75,3.25
Bridlemile,Private room,4,131,68.25,1,2
Bridlemile,Total,8,464,77.63,0.88,2.63
Brooklyn,Entire home/apt,28,1237,111.32,1.64,4.29
Brooklyn,Private room,15,886,59.27,1,2.13
Brooklyn,Shared room,1,26,25,1,1
Brooklyn,Total,44,2149,91.61,1.41,3.48
Buckman,Entire home/apt,96,4713,158.33,1.28,3.96
Buckman,Private room,33,1241,72.15,0.97,2.06
Buckman,Shared room,2,0,87.5,1,1.5
Buckman,Total,131,5954,135.54,1.2,3.44
Cathedral Park,Entire home/apt,30,669,100.13,1.6,4.03
Cathedral Park,Private room,24,789,59.42,1.04,2.17
Cathedral Park,Total,54,1458,82.04,1.35,3.2
Centennial,Entire home/apt,3,14,101.33,2.67,3.67
Centennial,Private room,8,158,57.25,1,2.38
Centennial,Shared room,1,11,25,1,1
Centennial,Total,12,183,65.58,1.42,2.58
Center,Entire home/apt,48,1462,143.94,1.65,3.85
Center,Private room,20,668,61.45,0.95,2.05
Center,Total,68,2130,119.68,1.44,3.32
Central Beaverton,Entire home/apt,6,293,116.5,1.5,4
Central Beaverton,Private room,4,31,64.75,1,2.5
Central Beaverton,Shared room,1,0,24,1,1
Central Beaverton,Total,11,324,89.27,1.27,3.18
Concordia,Entire home/apt,108,4654,131.27,1.43,3.9
Concordia,Private room,43,2141,73.3,1.02,2.33
Concordia,Total,151,6795,114.76,1.31,3.45
Corbett-Terwilliger-Lair Hill,Entire home/apt,26,386,135,1.62,3.88
Corbett-Terwilliger-Lair Hill,Private room,26,712,71.69,1,1.92
Corbett-Terwilliger-Lair Hill,Total,52,1098,103.35,1.31,2.9
Creston-Kenilworth,Entire home/apt,14,543,121.21,1.79,4.5
Creston-Kenilworth,Private room,23,1137,53,1,2.17
Creston-Kenilworth,Total,37,1680,78.81,1.3,3.05
Cully,Entire home/apt,65,3201,111.72,1.34,3.8
Cully,Private room,43,2534,52.51,1.02,2.14
