neighborhood,roomType,countRoomType,sumReviews,avgPrice,avgBedrooms,avgAccommodates
Alameda,Entire home/apt,33,1723,170.03,2.18,5
Alameda,Private room,23,1244,79.39,1.04,2.22
Alameda,Total,56,2967,132.8,1.71,3.86
Arbor Lodge,Entire home/apt,39,1195,118.38,1.46,4.23
Arbor Lodge,Private room,21,956,61.95,1.05,2.14
Arbor Lodge,Total,60,2151,98.63,1.32,3.5
Ardenwald,Entire home/apt,4,109,133,2,5.75
Ardenwald,Private room,1,5,60,1,3
Ardenwald,Total,5,114,118.4,1.8,5.2
Argay,Entire home/apt,2,14,82,2,4.5
Argay,Private room,7,142,59.71,1,2
Argay,Total,9,156,64.67,1.22,2.56
Boise,Entire home/apt,107,6925,130.82,1.57,4.2
Boise,Private room,44,2489,64.93,1.02,2.32
Boise,Shared room,9,463,34.44,1,1
Boise,Total,160,9877,107.28,1.39,3.5
Brentwood-Darlington,Entire home/apt,13,506,92.23,1.85,4.46
Brentwood-Darlington,Private room,12,166,59,1.08,2.08
Brentwood-Darlington,Shared room,2,8,55,1,1
Brentwood-Darlington,Total,27,680,74.7,1.44,3.15
Bridgeton,Entire home/apt,6,71,178.17,1.67,4.33
Bridgeton,Total,6,71,178.17,1.67,4.33
Bridlemile,Entire home/apt,4,362,103.25,0.75,3.75
Bridlemile,Private room,5,169,64.6,0.8,2
Bridlemile,Total,9,531,81.78,0.78,2.78
Brooklyn,Entire home/apt,34,1409,139.91,1.74,4.29
Brooklyn,Private room,14,800,62,1,2.07
Brooklyn,Shared room,1,39,25,1,1
Brooklyn,Total,49,2248,115.31,1.51,3.59
Buckman,Entire home/apt,102,5222,185.97,1.51,4.15
Buckman,Private room,35,1489,76.8,0.97,2.03
Buckman,Shared room,2,0,87.5,1,1.5
Buckman,Total,139,6711,157.06,1.37,3.58
Cathedral Park,Entire home/apt,34,788,105.44,1.59,4.09
Cathedral Park,Private room,27,952,58.93,1.04,2.11
Cathedral Park,Total,61,1740,84.85,1.34,3.21
Centennial,Entire home/apt,2,11,117,2.5,4
Centennial,Private room,6,158,41,1,2.5
Centennial,Shared room,1,19,25,1,1
Centennial,Total,9,188,56.11,1.33,2.67
Center,Entire home/apt,53,1615,149.34,1.72,3.91
Center,Private room,21,734,65.81,0.95,2.05
Center,Total,74,2349,125.64,1.5,3.38
Central Beaverton,Entire home/apt,6,332,112.5,1.5,4
Central Beaverton,Private room,5,55,54.6,1,2.2
Central Beaverton,Shared room,1,0,24,1,1
Central Beaverton,Total,12,387,81,1.25,3
Concordia,Entire home/apt,120,4984,134.1,1.39,3.85
Concordia,Private room,48,2678,69.81,1.06,2.31
Concordia,Total,168,7662,115.73,1.3,3.41
Corbett-Terwilliger-Lair Hill,Entire home/apt,25,374,139.2,1.68,3.96
Corbett-Terwilliger-Lair Hill,Private room,29,942,73.52,1,1.97
Corbett-Terwilliger-Lair Hill,Total,54,1316,103.93,1.31,2.89
Creston-Kenilworth,Entire home/apt,16,523,127.06,2,4.94
Creston-Kenilworth,Private room,23,1290,58.65,1,2.13
Creston-Kenilworth,Total,39,1813,86.72,1.41,3.28
Cully,Entire home/apt,65,3432,117.26,1.38,3.91
Cully,Private room,45,2842,57.33,1.11,2.27
Cully,Total,110,6274,92.75,1.27,3.24
Denny Whitford,Entire home/apt,5,47,171.2,2,5.8
Denny Whitford,Total,5,47,171.2,2,5.8
Downtown,Entire home/apt,43,1293,279.42,1.23,3.65
Downtown,Private room,6,43,82.83,1,2.33
Downtown,Shared room,2,0,52.5,1,2
Downtown,Total,51,1336,247.39,1.2,3.43
Eastmoreland,Entire home/apt,16,650,132.25,1.69,4.13
Eastmoreland,Private room,9,352,59.44,1.11,2.33
Eastmoreland,Total,25,1002,106.04,1.48,3.48
Eliot,Entire home/apt,45,2921,127,1.44,3.89
Eliot,Private room,10,636,78.1,1,2
Eliot,Total,55,3557,118.11,1.36,3.55
Far Southwest,Entire home/apt,29,735,148.31,1.97,5
Far Southwest,Private room,20,373,62.4,1.15,2.5
Far Southwest,Total,49,1108,113.24,1.63,3.98
Five Oaks,Private room,5,30,47.6,1,2
Five Oaks,Total,5,30,47.6,1,2
Forest Park,Entire home/apt,26,555,188.92,2.31,5.5
Forest Park,Private room,13,441,109.46,1,2.23
Forest Park,Total,39,996,162.44,1.87,4.41
Foster Powell,Entire home/apt,24,671,96.71,1.5,4.17
Foster Powell,Private room,9,373,57.33,1.11,2.22
Foster Powell,Total,33,1044,85.97,1.39,3.64
Greenway,Entire home/apt,2,25,104,2.5,4.5
Greenway,Private room,2,22,50.5,1,2
Greenway,Total,4,47,77.25,1.75,3.25
Hayhurst,Entire home/apt,8,321,110,1.63,4.13
Hayhurst,Private room,5,128,69.2,1,1.8
Hayhurst,Total,13,449,94.31,1.38,3.23
Hazelwood,Entire home/apt,7,391,84.43,1.57,4.14
Hazelwood,Private room,12,202,45.5,1,1.83
Hazelwood,Total,19,593,59.84,1.21,2.68
Highlands,Entire home/apt,5,128,109.6,1.8,3.6
Highlands,Private room,6,162,53.83,1,1.5
Highlands,Total,11,290,79.18,1.36,2.45
Hillsdale,Entire home/apt,27,982,144.96,1.67,4.81
Hillsdale,Private room,17,767,69.71,1.06,2.41
Hillsdale,Total,44,1749,115.89,1.43,3.89
Historic Milwaukie,Private room,1,3,55,1,3
Historic Milwaukie,Total,1,3,55,1,3
Homestead,Entire home/apt,15,646,122,1.27,3.27
Homestead,Private room,12,584,73.25,1,2.08
Homestead,Shared room,1,3,45,1,1
Homestead,Total,28,1233,98.36,1.14,2.68
Hosford,Entire home/apt,105,5394,142.1,1.43,3.81
Hosford,Private room,38,2355,68.32,1.05,2.34
Hosford,Shared room,1,0,336,1,2
Hosford,Total,144,7749,123.98,1.33,3.41
Irvington,Entire home/apt,52,3415,125.98,1.42,4.13
Irvington,Private room,40,2666,90.55,1.03,2.28
Irvington,Shared room,5,355,36,1,1.4
Irvington,Total,97,6436,106.73,1.24,3.23
Kenton,Entire home/apt,30,854,102.9,1.57,3.83
Kenton,Private room,26,1578,54.69,1.04,2.27
Kenton,Total,56,2432,80.52,1.32,3.11
Kerns,Entire home/apt,61,2087,148.77,0.97,3.89
Kerns,Private room,16,764,64.5,1,2.19
Kerns,Total,77,2851,131.26,0.97,3.53
King,Entire home/apt,192,8779,140.56,1.63,4.11
