neighborhood,roomType,countRoomType,sumReviews,avgPrice,avgBedrooms,avgAccommodates
Alameda,Entire home/apt,33,1474,187.67,2,4.85
Alameda,Private room,24,1065,76.25,1,2.08
Alameda,Total,57,2539,140.75,1.58,3.68
Arbor Lodge,Entire home/apt,33,963,120.21,1.36,3.88
Arbor Lodge,Private room,23,1032,57.17,1,2.09
Arbor Lodge,Total,56,1995,94.32,1.21,3.14
Ardenwald,Entire home/apt,4,54,89.75,0.75,2.75
Ardenwald,Private room,3,12,73,1,3
Ardenwald,Total,7,66,82.57,0.86,2.86
Argay,Entire home/apt,3,46,125,3,6.67
Argay,Private room,5,112,65.4,1,2.4
Argay,Total,8,158,87.75,1.75,4
Boise,Entire home/apt,109,6059,138.61,1.65,4.33
Boise,Private room,42,2057,77.5,1,2.33
Boise,Shared room,7,320,36.86,1,2.71
Boise,Total,158,8436,117.86,1.45,3.73
Brentwood-Darlington,Entire home/apt,6,282,111,1.33,4.17
Brentwood-Darlington,Private room,8,271,54.88,1,2.38
Brentwood-Darlington,Total,14,553,78.93,1.14,3.14
Bridgeton,Entire home/apt,9,51,187.56,1.89,4.11
Bridgeton,Private room,3,13,85,1,2
Bridgeton,Total,12,64,161.92,1.67,3.58
Bridlemile,Entire home/apt,9,367,114.67,1,3
Bridlemile,Private room,3,63,61,1,2
Bridlemile,Total,12,430,101.25,1,2.75
Brooklyn,Entire home/apt,24,1051,113.63,1.54,4.33
Brooklyn,Private room,13,673,62.23,1,2.08
Brooklyn,Shared room,1,5,30,1,1
Brooklyn,Total,38,1729,93.84,1.34,3.47
Buckman,Entire home/apt,95,4487,155.68,1.29,4.16
Buckman,Private room,31,1023,70.06,1,2.13
Buckman,Shared room,2,14,30.5,1,1.5
Buckman,Total,128,5524,132.99,1.22,3.63
Cathedral Park,Entire home/apt,31,705,119.32,1.81,4.52
Cathedral Park,Private room,21,751,59.62,1,2.05
Cathedral Park,Total,52,1456,95.21,1.48,3.52
Centennial,Private room,6,60,36.83,1,2.17
Centennial,Shared room,1,6,45,1,3
Centennial,Total,7,66,38,1,2.29
Center,Entire home/apt,39,1149,165.85,1.44,3.9
Center,Private room,18,598,68.33,1,2.11
Center,Total,57,1747,135.05,1.3,3.33
Central Beaverton,Entire home/apt,6,220,133.17,2,4
Central Beaverton,Total,6,220,133.17,2,4
Concordia,Entire home/apt,114,4762,134.25,1.46,3.98
Concordia,Private room,46,1944,74.3,1,2.28
Concordia,Total,160,6706,117.02,1.33,3.49
Corbett-Terwilliger-Lair Hill,Entire home/apt,30,443,133.7,1.6,3.93
Corbett-Terwilliger-Lair Hill,Private room,23,835,70.39,1,1.96
Corbett-Terwilliger-Lair Hill,Total,53,1278,106.23,1.34,3.08
Creston-Kenilworth,Entire home/apt,19,587,134.37,1.84,4.32
Creston-Kenilworth,Private room,23,1314,62.04,1,2.17
Creston-Kenilworth,Total,42,1901,94.76,1.38,3.14
Cully,Entire home/apt,69,2528,122.25,1.43,3.96
Cully,Private room,39,2253,56.03,1,2.05
Cully,Total,108,4781,98.33,1.28,3.27
Denny Whitford,Entire home/apt,1,9,130,2,6
Denny Whitford,Total,1,9,130,2,6
Downtown,Entire home/apt,68,1665,339.69,1.46,4.76
Downtown,Private room,4,54,73,1,2
Downtown,Shared room,4,53,41,1,1.5
Downtown,Total,76,1772,309.93,1.41,4.45
Eastmoreland,Entire home/apt,16,504,126.94,1.56,3.88
